co_cnes;nm_fant;bairro;distrito;gestao;atend_sus;tipo_und;nat_jur;co_ibge;lat;long
2003368;HOSPITAL PORTUGAL RAMALHO;FAROL;3;D;1;07;Público;270430;-9.57383;-35.78666
9052674;UNIDADE MOVEL DE SAUDE DA MULHER;POCO;1;E;1;40;Privado;270430;-9.6661453;-35.7267389
7961537;CENTRAL DE ABASTECIMENTO FARMACEUTICO DO ESTADO DE ALAGOAS;FAROL;3;E;1;43;Público;270430;-9.6383229;-35.743418
9090142;MOTOLANCIA 03 SAMU MACEIO;FAROL;3;E;1;42;Público;270430;-9.6433779;-35.7346612
9090150;MOTOLANCIA 04 SAMU MACEIO;FAROL;3;E;1;42;Público;270430;-9.6433779;-35.7346612
7060769;USA 06 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7061129;USB 03 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
7475209;USB 34 MACEIO;FAROL;3;E;1;42;Público;270430;-9.6267736;-35.7395834
7475233;USB 01 MACEIO;FAROL;3;E;1;42;Público;270430;-9.6267736;-35.7395834
7361815;USB 08 MACEIO;FAROL;3;E;1;42;Público;270430;-9.64466;-35.73769
2003899;HEMOCENTRO DE ALAGOAS HEMOAL;TRAPICHE DA BARRA;2;E;1;69;Público;270430;-9.67238;-35.75829
2008742;POLICLINICA DENILMA BULHOES;BENEDITO BENTES;6;E;1;20;Público;270430;-9.60831;-35.74064
2008750;UPA 24 HORAS TABULEIRO PORTE 3;TABULEIRO DOS MARTINS;7;E;1;73;Público;270430;-9.60831;-35.74064
2008769;MINI PRONTO SOCORRO DOM MIGUEL FENELON CAMARA;CHA DA JAQUEIRA;4;E;1;20;Público;270430;-9.61561;-35.75015
2009129;LABORATORIO DE SAUDE PUBLICA LACEN;JATIUCA;1;E;1;80;Público;270430;-9.65124;-35.70698
2009250;MATERNIDADE ESCOLA SANTA MONICA;POCO;1;E;1;07;Público;270430;-9.65888;-35.72321
2009730;CENTRO DE REFERENCIA ESTADUAL EM SAUDE DO TRABALHADOR;POCO;1;E;1;36;Público;270430;-9.67086;-35.71642
